,feature,importance
0,dur,0.02935301894741289
1,service,0.02151784543150372
2,spkts,0.01650001533355696
3,dpkts,0.012702578227549893
4,sbytes,0.05672437439687963
5,dbytes,0.027637720409241517
6,rate,0.03999274106855436
7,sttl,0.11038806864837715
8,dttl,0.012607107052063343
9,sload,0.04723996715608731
10,dload,0.05077468855727884
11,sloss,0.015658706154622743
12,dloss,0.008294144426185828
13,sinpkt,0.027789695755870245
14,dinpkt,0.025835882274423613
15,sjit,0.021539216367167338
16,djit,0.02052179015878484
17,swin,0.003505630680791001
18,stcpb,0.01940824740840489
19,dtcpb,0.019225690051654375
20,dwin,5.096592628973917e-05
21,tcprtt,0.02677947584408298
22,synack,0.024823436532880418
23,ackdat,0.03129444736868607
24,smean,0.0539743013775959
25,dmean,0.042507909875155236
26,trans_depth,0.002978212654990553
27,response_body_len,0.002513985937545279
28,ct_srv_src,0.034313161385949156
29,ct_state_ttl,0.055802640704106427
30,ct_dst_ltm,0.015038174460935243
31,ct_src_dport_ltm,0.012188965856224638
32,ct_dst_sport_ltm,0.013065337894608292
33,ct_dst_src_ltm,0.03870265540771344
34,is_ftp_login,0.00022344897392729258
35,ct_ftp_cmd,0.0002701653027112254
36,ct_flw_http_mthd,0.003479695596150402
37,ct_src_ltm,0.019716220659441695
38,ct_srv_dst,0.03280765644255992
39,is_sm_ips_ports,0.002252013292035573
