,feature,importance
0,dur,0.030284448001325414
1,service,0.12452768049210307
2,spkts,0.01251128098194652
3,dpkts,0.009154513736239482
4,sbytes,0.13441791920251348
5,dbytes,0.015194184421266622
6,rate,0.03436559807087536
7,sttl,0.015319075198646568
8,dttl,0.005396054590501247
9,sload,0.0886281050990411
10,dload,0.007666078263325226
11,sloss,0.003509974103804079
12,dloss,0.002039722739605196
13,sinpkt,0.017196218256352827
14,dinpkt,0.004926870594158611
15,sjit,0.0038801087818478045
16,djit,0.002899153245680658
17,swin,0.005829274232432387
18,stcpb,0.004244586707582159
19,dtcpb,0.0021366668804704845
20,dwin,0.0003129333280905703
21,tcprtt,0.003330110395530123
22,synack,0.0031416050238599917
23,ackdat,0.003685166348906624
24,smean,0.1695671095666332
25,dmean,0.010931658796674985
26,trans_depth,0.003713005975604582
27,response_body_len,0.007813238859641688
28,ct_srv_src,0.013706723752987475
29,ct_state_ttl,0.011141421065940177
30,ct_dst_ltm,0.007645277749138964
31,ct_src_dport_ltm,0.017153184669313686
32,ct_dst_sport_ltm,0.17194115507181953
33,ct_dst_src_ltm,0.01627640553738773
34,is_ftp_login,8.41789088781966e-06
35,ct_ftp_cmd,0.0
36,ct_flw_http_mthd,0.01192688354497608
37,ct_src_ltm,0.006309735226952013
38,ct_srv_dst,0.01588064888468932
39,is_sm_ips_ports,0.0013878047112472296
