,feature,importance
0,dur,0.03422898591929968
1,service,0.04926137067083503
2,spkts,0.012784773979283058
3,dpkts,0.025481979581056694
4,sbytes,0.09914325301318119
5,dbytes,0.060916371440828655
6,rate,0.0571761611058382
7,sttl,0.03982399788480218
8,dttl,0.031042588595852665
9,sload,0.10929933865104284
10,dload,0.026305168841834002
11,sloss,0.014849888556432444
12,dloss,0.004537659222089449
13,sinpkt,0.027279520293206877
14,dinpkt,0.020009001998302894
15,sjit,0.00846880819369849
16,djit,0.006337056230994394
17,swin,0.007679820808394646
18,stcpb,0.006336812965676002
19,dtcpb,0.002997384956262248
20,dwin,0.0006584663328720125
21,tcprtt,0.009355917641459916
22,synack,0.013491850204526442
23,ackdat,0.009364059313052847
24,smean,0.11590545743653492
25,dmean,0.03142401076126484
26,trans_depth,0.0008548731230062939
27,response_body_len,0.001628076680718765
28,ct_srv_src,0.03077722948167923
29,ct_state_ttl,0.02885746220786821
30,ct_dst_ltm,0.008139203112325539
31,ct_src_dport_ltm,0.008111863216396613
32,ct_dst_sport_ltm,0.031018747877850132
33,ct_dst_src_ltm,0.025668819158261285
34,is_ftp_login,3.0693979835037514e-05
35,ct_ftp_cmd,3.8872835014794095e-05
36,ct_flw_http_mthd,0.0013844269661686891
37,ct_src_ltm,0.004436943559131773
38,ct_srv_dst,0.03150116189790037
39,is_sm_ips_ports,0.003391921305220806
