,feature,importance
0,dur,0.024761211120685335
1,service,0.00741439179717685
2,spkts,0.025401300280614474
3,dpkts,0.012795018391020364
4,sbytes,0.16457281872592122
5,dbytes,0.022483803122482535
6,rate,0.03631145845374937
7,sttl,0.019156882034232516
8,dttl,0.010431470674392826
9,sload,0.09124691212291446
10,dload,0.012935232323193926
11,sloss,0.01053844068651433
12,dloss,0.00399162885043362
13,sinpkt,0.0248434727626047
14,dinpkt,0.010638638367330937
15,sjit,0.00936677660162018
16,djit,0.005180454342963669
17,swin,0.008002969670273384
18,stcpb,0.004563858965172036
19,dtcpb,0.004199375729619066
20,dwin,0.0014667212665772711
21,tcprtt,0.005120473915488831
22,synack,0.008048910559850157
23,ackdat,0.00398041000779422
24,smean,0.17528087152781943
25,dmean,0.011630282668656362
26,trans_depth,0.001924694745164829
27,response_body_len,0.0013050007295280686
28,ct_srv_src,0.014080347386587326
29,ct_state_ttl,0.016055383124126424
30,ct_dst_ltm,0.011750541616671764
31,ct_src_dport_ltm,0.01475595851740571
32,ct_dst_sport_ltm,0.17367576023687928
33,ct_dst_src_ltm,0.017523813886196858
34,is_ftp_login,3.158644758726177e-05
35,ct_ftp_cmd,5.792210859182965e-05
36,ct_flw_http_mthd,0.001957137843158682
37,ct_src_ltm,0.009461396139341764
38,ct_srv_dst,0.019632302354118492
39,is_sm_ips_ports,0.00342436989553968
